,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
1158,1159,2000,Central,0,0,3,0,0,2,0,1,0,0,1,1,0,0,2.079441542,0,8,0,0.0,3,0.375
1159,1160,2000,Central,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1.386294361,0,4,1,0.25,3,0.75
1160,1161,2000,Central,0,1,1,1,0,0,0,0,1,0,1,2,1,1,2.197224577,0,9,1,0.1111111111111111,3,0.3333333333333333
1161,1162,2000,Central,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1.386294361,0,4,0,0.0,0,0.0
1162,1163,2000,Central,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1.791759469,0,6,1,0.16666666666666666,2,0.3333333333333333
1163,1164,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1164,1165,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1165,1166,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.098612289,0,3,0,0.0,0,0.0
1166,1167,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1167,1168,2000,Central,0,0,1,0,1,3,2,0,2,2,0,1,1,0,2.564949357,0,13,0,0.0,1,0.07692307692307693
1168,1169,2000,Central,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1.386294361,0,4,1,0.25,2,0.5
1169,1170,2000,Central,2,0,1,1,1,0,2,1,0,0,1,1,0,0,2.302585093,0,10,2,0.2,4,0.4
1170,1171,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
1171,1172,2000,Central,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1.791759469,0,6,0,0.0,2,0.3333333333333333
1172,1173,2000,Central,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1173,1174,2000,Central,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,0,0.0,1,0.3333333333333333
1174,1175,2000,Central,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1.791759469,0,6,2,0.3333333333333333,2,0.3333333333333333
1175,1176,2000,Central,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,2,0.5
1176,1177,2000,Central,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,2,0.5,2,0.5
1177,1178,2000,Central,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1.791759469,0,6,2,0.3333333333333333,3,0.5
1178,1179,2000,Central,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1.609437912,0,5,1,0.2,2,0.4
1179,1180,2000,Central,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1.791759469,0,6,0,0.0,1,0.16666666666666666
1180,1181,2000,Central,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.386294361,0,4,0,0.0,0,0.0
1181,1182,2000,Central,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.098612289,0,3,0,0.0,0,0.0
1182,1183,2000,Central,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1.945910149,0,7,0,0.0,0,0.0
1183,1184,2000,Central,0,0,0,0,1,1,1,1,2,0,1,1,0,0,2.079441542,0,8,0,0.0,0,0.0
1184,1185,2000,Central,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1.609437912,0,5,0,0.0,1,0.2
1185,1186,2000,Central,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806,0,2,0,0.0,0,0.0
1186,1187,2000,Central,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1.386294361,0,4,0,0.0,2,0.5
1187,1188,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
1188,1189,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0.0,0,0.0
1189,1190,2000,Central,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1.386294361,0,4,0,0.0,0,0.0
1190,1191,2000,Central,0,0,2,0,1,1,0,0,0,0,1,1,0,0,1.791759469,0,6,0,0.0,2,0.3333333333333333
1191,1192,2000,Central,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,0,0.0,1,0.3333333333333333
1192,1193,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289,0,3,0,0.0,0,0.0
1193,1194,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0.0,0,0.0
1194,1195,2000,Central,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1.609437912,0,5,0,0.0,1,0.2
1195,1196,2000,Central,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,0,5,2,0.4,3,0.6
1196,1197,2000,Central,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1197,1198,2000,Central,2,1,0,2,2,1,2,0,2,1,0,1,1,0,2.708050201,0,15,3,0.2,5,0.3333333333333333
1198,1199,2000,Central,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1.609437912,0,5,0,0.0,2,0.4
1199,1200,2000,Central,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1.609437912,0,5,0,0.0,1,0.2
1200,1201,2000,Central,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1.609437912,0,5,1,0.2,1,0.2
1201,1202,2000,Central,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,0,0.0,2,0.5
1202,1203,2000,Central,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1.609437912,0,5,0,0.0,2,0.4
1203,1204,2000,Central,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1204,1205,2000,Central,2,0,0,0,0,0,2,0,2,2,1,1,0,0,2.302585093,0,10,2,0.2,2,0.2
1205,1206,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
