,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
907,908,2000,Metropolitana,1,0,0,0,1,1,2,0,2,0,0,1,0,0,2.079441542,1,8,1,0.125,1,0.125
908,909,2000,Metropolitana,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,3,0.6,3,0.6
909,910,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361,1,4,0,0.0,0,0.0
910,911,2000,Metropolitana,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1.791759469,1,6,1,0.16666666666666666,3,0.5
911,912,2000,Metropolitana,1,0,2,0,0,2,2,0,0,0,1,1,0,0,2.197224577,1,9,1,0.1111111111111111,3,0.3333333333333333
912,913,2000,Metropolitana,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912,1,5,1,0.2,2,0.4
913,914,2000,Metropolitana,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1.791759469,1,6,1,0.16666666666666666,3,0.5
914,915,2000,Metropolitana,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1.386294361,1,4,1,0.25,1,0.25
915,916,2000,Metropolitana,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361,1,4,1,0.25,2,0.5
938,939,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,0,0.0
939,940,2000,Nororiente,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
940,941,2000,Nororiente,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1.098612289,1,3,0,0.0,2,0.6666666666666666
941,942,2000,Nororiente,0,1,0,2,1,0,1,1,2,1,0,0,1,1,2.397895273,1,11,1,0.09090909090909091,3,0.2727272727272727
942,943,2000,Nororiente,0,0,1,1,0,2,2,1,0,0,0,1,1,0,2.197224577,1,9,0,0.0,2,0.2222222222222222
943,944,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
944,945,2000,Nororiente,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1.098612289,1,3,0,0.0,2,0.6666666666666666
945,946,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
946,947,2000,Nororiente,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1.386294361,1,4,0,0.0,0,0.0
947,948,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
948,949,2000,Nororiente,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6931471806,1,2,0,0.0,0,0.0
949,950,2000,Nororiente,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912,1,5,1,0.2,3,0.6
950,951,2000,Nororiente,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1.609437912,1,5,0,0.0,2,0.4
951,952,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,1,2,0,0.0,0,0.0
952,953,2000,Nororiente,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,2,0.4
953,954,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.098612289,1,3,0,0.0,0,0.0
954,955,2000,Nororiente,0,0,1,0,0,0,2,0,0,1,1,1,0,0,1.791759469,1,6,0,0.0,1,0.16666666666666666
955,956,2000,Nororiente,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,2,0,0.0,1,0.5
956,957,2000,Nororiente,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1.791759469,1,6,0,0.0,1,0.16666666666666666
969,970,2000,Nororiente,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1.386294361,1,4,0,0.0,0,0.0
970,971,2000,Nororiente,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1.386294361,1,4,1,0.25,1,0.25
971,972,2000,Nororiente,0,1,0,0,2,0,3,0,0,0,0,1,0,0,1.945910149,1,7,1,0.14285714285714285,1,0.14285714285714285
972,973,2000,Nororiente,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1.945910149,1,7,1,0.14285714285714285,3,0.42857142857142855
973,974,2000,Nororiente,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469,1,6,2,0.3333333333333333,4,0.6666666666666666
974,975,2000,Nororiente,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1.609437912,1,5,0,0.0,2,0.4
975,976,2000,Nororiente,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1.609437912,1,5,0,0.0,0,0.0
976,977,2000,Nororiente,0,0,0,1,0,0,0,1,0,2,1,1,0,0,1.791759469,1,6,0,0.0,1,0.16666666666666666
977,978,2000,Nororiente,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361,1,4,2,0.5,2,0.5
978,979,2000,Nororiente,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1.386294361,1,4,1,0.25,3,0.75
979,980,2000,Nororiente,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469,1,6,2,0.3333333333333333,4,0.6666666666666666
980,981,2000,Nororiente,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,1,2,0,0.0,0,0.0
981,982,2000,Nororiente,1,1,2,1,1,0,0,1,1,0,0,1,0,0,2.197224577,1,9,2,0.2222222222222222,5,0.5555555555555556
982,983,2000,Nororiente,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
983,984,2000,Nororiente,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
984,985,2000,Nororiente,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1.386294361,1,4,2,0.5,3,0.75
985,986,2000,Nororiente,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289,1,3,0,0.0,1,0.3333333333333333
986,987,2000,Nororiente,0,1,1,2,1,0,1,0,0,0,0,1,0,0,1.945910149,1,7,1,0.14285714285714285,4,0.5714285714285714
990,991,2000,Central,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,2,0.4,3,0.6
991,992,2000,Central,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1.609437912,1,5,0,0.0,0,0.0
992,993,2000,Central,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1.386294361,1,4,0,0.0,1,0.25
993,994,2000,Central,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806,1,2,0,0.0,0,0.0
994,995,2000,Central,0,0,0,0,0,1,2,0,1,1,0,1,1,0,1.945910149,1,7,0,0.0,0,0.0
995,996,2000,Central,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1.609437912,1,5,0,0.0,1,0.2
996,997,2000,Central,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289,1,3,0,0.0,1,0.3333333333333333
997,998,2000,Central,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1.609437912,1,5,0,0.0,2,0.4
998,999,2000,Central,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1.791759469,1,6,0,0.0,2,0.3333333333333333
1066,1067,2000,Central,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1.386294361,1,4,1,0.25,3,0.75
1067,1068,2000,Central,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
1068,1069,2000,Central,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.098612289,1,3,0,0.0,0,0.0
1069,1070,2000,Central,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
1070,1071,2000,Central,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1.609437912,1,5,0,0.0,2,0.4
1071,1072,2000,Central,0,2,1,1,0,1,0,0,0,1,0,0,0,0,1.791759469,1,6,2,0.3333333333333333,4,0.6666666666666666
1072,1073,2000,Central,0,0,1,1,1,1,0,0,0,1,0,1,1,1,2.079441542,1,8,0,0.0,2,0.25
