j,2000,Code,Nutrient,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Cookies,galletas,14010,"GALLETAS DE SODA,  C/SAL",5.03,428,9.22,11.35,70.91,3,3.49,68,101,5.64,0.09,0.45,5.25,0,0,7,1.25,1.66,0,154,1072,0.83,22,0.09,0,108,215,1
Sweets,golosinas,15005,ANGELES O MARSHMELLOWS,16.4,318,1.8,0.2,81.3,0.1,0.3,3,8,0.23,0,0,0.08,0,0,0.08,0.05,0.06,0,5,80,0.04,2,0,0,0,1,1
Bananas,platanos,12010,"BANANO/GUINEO, MADURO",74.91,89,1.09,0.33,22.84,2.6,0.82,5,22,0.26,0.03,0.07,0.67,9,3,0.03,0.07,0.11,0,358,1,0.15,27,0.37,0,0,20,0.64
Chayote,guisquil,11047,"CHAYOTE/GUISQUIL/PATASTE, CRUDO",90.8,31,0.9,0.2,7.7,1.7,0.4,12,30,0.6,0.03,0.04,0.4,20,3,0.01,0.06,0.03,0,125,2,0.74,0,0.08,0,0,93,0.77
Corn Dough (fresh(,masa de maiz fresca,13110,HARINA DE MAÍZ   (PL 480 ),11.6,366,8.5,1.7,77.7,7.4,0.6,110,84,2.9,0.44,0.26,3.53,0,662,0,0,0,0,162,3,0.7,40,0.3,0,0,0,1
Wheat Flour,harina de trigo,13039,"HARINA DE TRIGO ENRIQUECIDA,  TODO USO",11.92,364,10.33,0.98,76.31,2.7,0.47,15,108,4.64,0.79,0.49,5.9,0,0,0.09,0.41,0.16,0,107,2,0.7,22,0.04,0,154,291,1
Ice Cream,helados / granizadas,18017,"HELADO-CREMA O ICE CREAM, CHOCOLATE",55.7,216,3.8,11,28.2,1.2,1,109,107,0.93,0.04,0.19,0.23,1,118,3.21,0.41,6.8,34,249,76,0.58,29,0.05,0.29,0,16,1
Herbs,hierbas,11025,"BERRO, CRUDO",92.2,22,2.8,0.4,3.3,1.51,1.3,117,76,1.9,0.12,0.1,1,44,161,0.24,0.23,0.02,0,606,14,0.23,0,0.25,0,0,80,0.6
Eggs,huevos de gallina,2002,"HUEVO DE GALLINA, ENTERO, CRUDO",75.84,147,12.58,9.94,0.77,0,0.86,53,191,1.83,0.07,0.48,0.07,0,140,3.81,1.36,3.1,423,134,140,1.11,12,0.14,1.29,0,47,0.88
Incaparina,incaparina,17022,"BEBIDA NUTRITIVA- INCAPARINA, POLVO",7.24,368,20.7,2,68,0,4.5,305,0,20,1.2,1.3,16,0,1350,0,0,0,0,0,0,15,0,0,1.01,187,0,1
Juices (Packaged),jugos empacados,17031,"REFRESCO ARTF. S/VIT C, EMPACADO",88.1,43,0,0,11.6,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,1
Fish (Canned),lata de sardinas o atun,8019,"PESCADO CARNE, ATÚN ENLATADO C/ACEITE, SÓLIDOS",64.02,186,26.53,8.08,0,0,2.18,4,267,0.65,0.02,0.08,11.7,0,5,3.26,2.97,1.28,31,333,396,0.47,34,0.43,2.2,0,5,1
Milk (powdered),leche en polvo,1069,"LECHE DE VACA, DESCREMADA, EN POLVO (PL 480)",3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.42,1.55,0.95,7,901,0,0,0,0,1794,535,4.08,110,0.36,4.03,0,0,1
Infant Formula,leche en polvo para bebe,1007,"LECHE HUMANA, FLUIDA",87.5,45,1,1.5,6.9,0,0,32,0,0.1,0.01,0.04,0.2,5,64,0.74,0.19,1.01,4,51,17,0.17,3,0.01,0.04,5,0,1
Milk (condensed),leche evaporada / condensada,1009,"LECHE DE VACA, CONDENSADA C/AZÚCAR, ENLAT.",27.16,321,7.91,8.7,54.4,0,1.83,284,253,0.19,0.09,0.42,0.21,3,74,2.43,0.34,5.49,34,371,127,0.94,26,0.05,0.44,0,11,1
Milk,leche liquida,1015,"LECHE DE VACA, ÍNTEGRA, FLUIDA (3.25% GRASA)",88.32,60,3.22,3.25,4.52,0,0.69,113,91,0.03,0.04,0.18,0.11,0,28,0.81,0.19,1.87,10,143,40,0.4,10,0.04,0.44,0,5,1
Lettuce,lechuga,11105,LECHUGA ARREPOLLADA (ICEBERG),95.64,14,0.9,0.14,2.97,1.2,0.36,18,20,0.41,0.04,0.03,0.12,3,25,0.01,0.07,0.02,0,141,10,0.15,7,0.04,0,0,29,0.95
